text,target
"14 из 15!
А про мой город - родина матрешки, православный Ватикан, подмосковный Сочи",Neutral
"Ваши обложки действительно искусство, очень прикольное и современное. Спасибо за рассказ о Вас и Вашей работе! Я рада, что эта статья мне попалась как раз, когда есть время прочитать её вдумчиво и с удовольствием рассматривая картинки😊",Positive
"« Курс этой валюты относительно рубля часто меняется. Например, 10 марта 2022 года 1 THB ⁣стоил 4,1 Р, а 4 июля — 1,5 Р.»

Да да, именно этой валюты)) курс рубля к остальным валютам стабилен, как никогда!",Positive
"Сама волонтёрила в хосписе, нас вдохновил преподаватель по этике и деонтологии, сдавала кровь, учась в университете. Сейчас только периодически перечисляю деньги в приюты для животных. Фондам почему-то не доверяю, предпочитаю напрямую перечислять.",Positive
"Честно говоря, в голову не приходило. Но я бы попыталась привести всё в цивильное русло, договорившись с ""точками"" и не столько для себя, сколько для нуждающихся.",Neutral
">>В 2016 году мне снова стало хуже, будто я теряла силы

То есть после переезда в Швейцарию вам 10 лет было хорошо? Так это же самая замечательная терапия!",Neutral
"заказал серебряные часы соколов а браслет к ним никак не получается может соколов не в курсе, если устроюсь креативным директором всех уволю за незнание предмета",Neutral
"Здравствуйте, получаю с маткапитала путинские на второго ребёнка и с 3-7 на первого. Срок окончания пособий сентябрь 2023. Скажите, смогу я эти пособия продлить по старому? Или нужно будет подавать по новому?",Neutral
"Блин, вот сколько читаю про ремонт, выигрыш от того что делаешь сам компенсируется ошибками и косяками от рабочих (за которыми не досмотрели). 
Автору сил, денег и лучи поддержки, Вы с мужем герои.",Negative
"Кошелек в сумке - это, имхо, непредусмотрительно. Украдут сумку - украдут и кошелёк.",Negative
"Что у вас с ногтями на ногах? Ногти, волосы -это маркеры здоровья. Щитовидку проверяли? Гормоны?",Neutral
"Очень нужен минивен. Могу сама из Япони перегнать. Но ведь давно уже налог такой ввели, что перестали возить праворульные. Или отменилось что то? Сколько таможенный налог из Японии?",Neutral
"из за того что у нас нет нормальной профориентации многие не знаю что делать, поэтому идут в 10-11 классы для доп времени. Парни идут в вуз, так как не хотят в армию. В колледж идут, так как не хотят учиться в школе",Neutral
"Вместо первой Скарлет за эти же деньги есть модель мощнее - JE50S49, в онлайнтрейд забрал 20 ноября",Neutral
"Вы написали, что снегири установили дресс-код - о чем речь? В смысле, что не надеваете к ним одежду, которую жалко? Или им какие-то цвета/текстуры очень не нравятся?",Neutral
"То есть вы лежали, ждали, что кто-то вам напишет, но сами не написали?
А ваши коллеги ждали, что напишите вы.
И наверное имеют к вам такие же претензии. Типа ""свалила молча, не соизволила даже пару строк написать"".
Очень по-взрослому 👍",Neutral
